name,price,link,image
Acer Swift 5 Aerospace Ultrathin Laptop,"IDR21,999,000",https://store.acer.com/en-id/swift-5-sf514-56t-steam-blue-core-i7-nx-k0ksn-004,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift 3 Now Ultrathin Laptop,"IDR14,849,000",https://store.acer.com/en-id/acer-swift-3-now-sf314-512-nx-k0fsn-005,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift 5 Aerospace Ultrathin Laptop,"IDR21,999,000",https://store.acer.com/en-id/swift-5-sf514-56t-mint-green-core-i7-nx-k0hsn-002,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift Lite 14 Air Edition Laptop,"IDR14,999,000",https://store.acer.com/en-id/swift-lite-14-air-edition-nx-j91sn-002,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Swift Go 14 OLED,"IDR18,499,000",https://store.acer.com/en-id/acer-swift-go-sfg14-71-silver-nx-kf1sn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift X 14 AI On The Go Creator Laptop,"IDR28,749,000",https://store.acer.com/en-id/swift-x-14-ai-sfx14-72g-nx-kr7sn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 5 Slim (i3 MX350) Performance Laptop,"IDR8,399,000",https://store.acer.com/en-id/aspire-5-slim-a514-54g-black-mx350-nx-a1rsn-004,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire Vero (14 inch - Intel Evo) Laptop,"IDR11,999,000",https://store.acer.com/en-id/aspire-vero-14-av14-52p-nx-kjrsn-003,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 5 Slim (12th Gen) Performance Laptop,"IDR14,299,000",https://store.acer.com/en-id/aspire-5-a514-55g-grey-i7-nx-k5fsn-002,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift 14 Ultrathin Laptop (Core i5 - Blue),"IDR20,499,000",https://store.acer.com/en-id/swift-14-sf14-71t-nx-kessn-002,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
